stafkey,susrpw,susrsec,susrtyp,ssalut,snamef,snamemi,snamel,slogid,stitle,sorg,sdept,saddrnum,saddrst1,saddrst2,saddrcty,saddrstt,saddrcnty,saddrzip,stelw,stelwex,stelfax,stelh,staduser,stadtime,stmduser,stmdtime,stc1,stc2,stc3,stc4,snotes,sorc1,sorc2,sorc3,sorc4,sactive,ssys,sspare1,sspare2,sspare3,smemgrp,sfoiasec,srptsec,sattyid,svlj,sinvsec,sdomainid
JGREENFEL,,,,,Jerad,M,Greenfelder,JGREENFEL,CRUSSEL,,BDCOUNSEL,,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,,,,634,,,
ERATKE,,,,,Ezekiel,W,Ratke,ERATKE,01C2,,CHAIR,,,,,,,,,,,,,,SBARTELL,1998-06-02 08:33:05 UTC,,,,,,,,,,I,,,,,,,,,,,
AJOHNS2,,,,,Angelica,T,Johns,AJOHNS2,A1-TMP,,ADDMOD,,,,,,,,,,(726) 332-9668 x2093,,,,SBARTELL,1998-06-02 08:28:53 UTC,,,,,,,,,,I,,,,,,,,,,,
VJOHNSON,,,,,Vanessa,K,Johnson,VJOHNSON,RBAUCH,,ADDMOD,,,,,,,,,,(424) 573-6659 x65354,,,,SBARTELL,1998-06-03 12:02:25 UTC,,,,,,,,,,I,,,,,,,,,,,
TKSHLERIN,,,,,Tressa,F,Kshlerin,TKSHLERIN,AIRS,,AIRS,,,,,,,,,,,,,,SBARTELL,1998-06-08 09:24:23 UTC,,,,,,,,,,I,,,,,,,,,,,
LSTEHR,,,,,Logan,D,Stehr,LSTEHR,A4-108,,CDLEGCLK,,,,,,,,,,1-588-247-8450 x267,,,,,,,,,,,,,,,I,,,,,,,,,,,
MLIND,,,,,Makenna,L,Lind,MLIND,CRUSSEL,,BDCOUNSEL,,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,,,,636,,,
KBAILEY,,,,,Kenneth,F,Bailey,KBAILEY,SCORWIN,,ADDMOD,,,,,,,,,,762.875.1377,,,,,,,,,,,,,,,I,,,,,,,,,,,
SBEAHAN,,,,,Simone,S,Beahan,SBEAHAN,OPR,,REV,,,,,,,,,,(643) 473-2606,,,,,,,,,,,,,,,A,,,,,,,,,,,BVASBEAHAN
KDENESIK,,,,,Katrina,Z,Denesik,KDENESIK,01-CH,,CDLEGCLK,,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,,,,,,,
TBUCKRIDG,,,,,Tatyana,W,Buckridge,TBUCKRIDG,SBODE,,BDCOUNSEL,,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,,,,635,,,
JWALTER,,,,,Jefferey,R,Walter,JWALTER,MHALEY,,BDCOUNSEL,,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,,,,632,,,
MWILLMS,,,,,Megane,O,Willms,MWILLMS,AHUDSON,,BDCOUNSEL,,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,,,,637,,,
ADIBBERT,,,,,Antwon,D,Dibbert,ADIBBERT,AHUDSON,,BDCOUNSEL,,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,,,,639,,,
EHANE,,,,,Estella,J,Hane,EHANE,SBODE,,BDCOUNSEL,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,679,,,657,J,,BVAEHANE
MKUNDE1,,,,,Madisen,I,Kunde,MKUNDE1,SBODE,,BDCOUNSEL,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,616,,,658,A,,BVAMKUNDE1
JO'KEEFE,,,,,Johnpaul,M,O'Keefe,JO'KEEFE,01C3,,CHAIR,,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,,,,,,,
OBATZ,,,,,Okey,R,Batz,OBATZ,CRUSSEL,,BDCOUNSEL,,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,,,,660,,,
VHACKETT,,,,,Vena,L,Hackett,VHACKETT,AHUDSON,,BDCOUNSEL,,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,,,,659,,,
PAUFDERHA,,,,,Philip,B,Aufderhar,PAUFDERHA,OPR,,CDLEGCLK,,,,,,,,,,(152) 014-0373 x6033,,,,,,,,,,,,,,,I,,,,,,,,,,,
DMOEN,,,,,Dolly,D,Moen,DMOEN,MHALEY,,BDCOUNSEL,,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,,,,605,,,
OWUCKERT,,,,,Oran,W,Wuckert,OWUCKERT,SUMHIRE,,CDLEGCLK,,,,,,,,,,550.756.2597 x8739,,,,,,,,,,,,,,,I,,,,,,,,,,,
KFRITSCH,,,,,Kyler,M,Fritsch,KFRITSCH,OPR,,ADDMOD,,,,,,,,,,967.038.2116,,,,,,,,,,,,,,,I,,,,,,,,,,,
JHUDSON,,,,,Jed,L,Hudson,JHUDSON,WB,,TRANS,,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,,,,,,,
AYOST1,,,,,Angelina,Z,Yost,AYOST1,WB,,TRANS,,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,,,,,,,
DEICHMANN,,,,,Dante,K,Eichmann,DEICHMANN,WB,,TRANS,,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,,,,,,,
MMANN,,,,,Murl,T,Mann,MMANN,WB,,TRANS,,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,,,,,,,
DFEIL,,,,,Darrel,N,Feil,DFEIL,WB,,TRANS,,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,,,,,,,
HMCCULLOU,,,,,Heaven,U,McCullough,HMCCULLOU,WB,,TRANS,,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,,,,,,,
BDACH1,,,,,Brandt,U,Dach,BDACH1,WB,,TRANS,,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,,,,,,,
CKERTZMAN,,,,,Cora,Q,Kertzmann,CKERTZMAN,WB,,TRANS,,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,,,,,,,
CWEBER,,,,,Cortney,K,Weber,CWEBER,WB,,TRANS,,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,,,,,,,
EBINS,,,,,Mattie,V,Thompson,EBINS,WB,,TRANS,,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,,,,,,,
HLEGROS,,,,,Holden,G,Legros,HLEGROS,WB,,TRANS,,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,,,,,,,
MGOLDNER,,,,,Mae,C,Goldner,MGOLDNER,DV-DIR,,AMC,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,
RCORMIER,,,,,Rico,T,Cormier,RCORMIER,DV-DIR,,AMC,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,
BLANGOSH,,,,,Brennon,N,Langosh,BLANGOSH,DV-DIR,,AMC,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,
MBOGISICH,,,,,Madie,W,Bogisich,MBOGISICH,DV-DIR,,AMC,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,
CROSENBAU,,,,,Cathrine,D,Rosenbaum,CROSENBAU,DV-DIR,,AMC,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,
BKOHLER,,,,,Bernhard,T,Kohler,BKOHLER,DV-DIR,,AMC,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,
MHANSEN,,,,,Marques,A,Hansen,MHANSEN,DV-DIR,,AMC,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,
MVEUM,,,,,Maddison,A,Veum,MVEUM,DV-DIR,,AMC,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,
EMAGGIO,,,,,Eugenia,U,Maggio,EMAGGIO,DV-DIR,,AMC,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,
BPARKER,,,,,Buddy,D,Parker,BPARKER,DV-DIR,,AMC,,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,,,,,,,
CLEBSACK,,,,,Cora,B,Lebsack,CLEBSACK,DV-DIR,,AMC,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,
CHARTMANN,,,,,Chadd,W,Hartmann,CHARTMANN,DV-DIR,,AMC,,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,,,,,,,
RREMPEL,,,,,Roberta,P,Rempel,RREMPEL,DV-DIR,,AMC,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,
RGLEASON,,,,,Rico,F,Gleason,RGLEASON,SBODE,,BDCOUNSEL,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,374,,,1171,A,,BVARGLEASON
LHELLER,,,,,Lizeth,Z,Heller,LHELLER,SCORWIN,,DSP,,,,,,,,,,1-877-169-9692,,,,,,,,,,,,,,,I,,,,,,,,,,,
CSHANAHAN,,,,,Jena,F,Rice,CSHANAHAN,SUP,,HRG,,,,,,,,,,(256) 112-2257,,,,,,,,,,,,,,,I,,,,,,,,,,,
JDENESIK,,,,,Jazmyne,H,Denesik,JDENESIK,SBODE,,BDCOUNSEL,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,365,,,1118,J,,BVAJDENESIK
WSIMONIS,,,,,Warren,O,Simonis,WSIMONIS,MPAUCEK,,BDCOUNSEL,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,1119,A,,BVAWSIMONIS
MSTIEDEMA,,,,,Alexzander,O,White,MSTIEDEMA,SBODE,,BDCOUNSEL,,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,,,,1120,,,
VGUTMANN,,,,,Vesta,M,Gutmann,VGUTMANN,DV-DIR,,AMC,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,
RBERGSTRO1,,,,,Rudolph,F,Bergstrom,RBERGSTRO1,DV-DIR,,AMC,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,
KMORAR1,,,,,Kyleigh,T,Morar,KMORAR1,DV-DIR,,AMC,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,BVAKMORAR1
MHAAG,,,,,Merlin,D,Haag,MHAAG,DV-DIR,,AMC,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,
TBATZ,,,,,Tracey,X,Batz,TBATZ,SBODE,,BDCOUNSEL,,,,,,,,,,,(907) 492-5201,,,,,,,,,,,,,,A,,,,,374,,,1249,,,BVATBATZ
HERNSER,,,,,Horacio,R,Ernser,HERNSER,DV-DIR,,AMC,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,
VDENESIK,,,,,Vince,I,Denesik,VDENESIK,011W,,HRTEMP,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,BVAVDENESIK
KKAUTZER,,,,,Kitty,S,Kautzer,KKAUTZER,VVA,,VVA,,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,,,,,,,
ECUMMERAT,,,,,Elissa,U,Cummerata,ECUMMERAT,SBODE,,BDCOUNSEL,,,,,,,,,,,(261) 677-2402,,,,,,,,,,,,,,A,,,,,365,,,1241,,,BVAECUMMERAT
DBREKKE,,,,,Donny,S,Brekke,DBREKKE,SBODE,,BDCOUNSEL,,,,,,,,,,,(287) 408-5623 x216,,,,,,,,,,,,,,I,,,,,556,,,1262,,,
GSCHAMBER,,,,,Gwen,O,Schamberger,GSCHAMBER,SBODE,,BDCOUNSEL,,,,,,,,,,,1-279-973-8293 x2810,,,,,,,,,,,,,,I,,,,,805,,,1266,,,
HHOWE,,,,,Holly,K,Howe,HHOWE,SBODE,,BDCOUNSEL,,,,,,,,,,,(799) 852-9802 x1709,,,,,,,,,,,,,,A,,,,,386,,,1269,,,BVAHHOWE
LHOWE,,,,,Lowell,F,Howe,LHOWE,SBODE,,BDCOUNSEL,,,,,,,,,,,386.115.1625 x84150,,,,,,,,,,,,,,A,,,,,616,,,1268,,,BVALHOWE
RLITTEL,,,,,Rey,L,Littel,RLITTEL,PVA,,PVA,,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,,,,,,,
AGIBSON1,,,,,Adonis,O,Gibson,AGIBSON1,PVA,,PVA,,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,,,,,,,
OPOWLOWSK,,,,,Ozella,L,Powlowski,OPOWLOWSK,PVA,,PVA,,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,,,,,,,
ACUMMERAT,,,,,Alba,Q,Cummerata,ACUMMERAT,PVA,,PVA,,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,,,,,,,
GREMPEL,,,,,Gordon,N,Rempel,GREMPEL,PVA,,PVA,,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,,,,,,,
HPAGAC,,,,,Hobart,B,Pagac,HPAGAC,AML,,AML,,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,,,,,,,
RJENKINS,,,,,Rebecca,Y,Jenkins,RJENKINS,AML,,AML,,,,,,,,,,,,,,,,,,,,,,,,,V,,,,,,,,,,,BVARJENKINS
SBLANDA,,,,,Seamus,X,Blanda,SBLANDA,MPAUCEK,,BDCOUNSEL,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,1094,J,,BVASBLANDA
MSTAMM,,,,,Maegan,B,Stamm,MSTAMM,SBODE,,BDCOUNSEL,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,556,,,1095,A,,BVAMSTAMM
KMULLER,,,,,Kevon,V,Muller,KMULLER,SBODE,,BDCOUNSEL,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,370,,,1096,,,BVAKMULLER
NPURDY,,,,,Morgan,U,White,NPURDY,DV-DIR,,AMC,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,
MEBERT,,,,,Mackenzie,V,Ebert,MEBERT,SBODE,,BDCOUNSEL,,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,,,,1179,,,
JLANGWORT,,,,,Jose,I,Langworth,JLANGWORT,SBODE,,BDCOUNSEL,,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,,,,1180,,,
KLESCH,,,,,Kaylie,A,Lesch,KLESCH,OPR,,DIR,,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,,,,,,,
LNOLAN,,,,,Larue,J,Nolan,LNOLAN,DV-DIR,,AMC,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,
KSTOLTENB,,,,,Khalid,A,Stoltenberg,KSTOLTENB,DV-DIR,,AMC,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,
HWATSICA1,,,,,Hardy,X,Watsica,HWATSICA1,DV-DIR,,AMC,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,BVAHWATSICA1
AARMSTRON,,,,,Aurelia,S,Armstrong,AARMSTRON,DV-DIR,,AMC,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,
BBERGE,,,,,Brooks,M,Berge,BBERGE,MPAUCEK,,DIR,,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,,,,1388,J,,
ALANGWORT1,,,,,Adella,E,Langworth,ALANGWORT1,SBODE,,BDCOUNSEL,,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,,,,1121,,,
ELANGWORT,,,,,Eusebio,Q,Langworth,ELANGWORT,DV-DIR,,AMC,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,BVAELANGWORT
LSCHNEIDE,,,,,Lupe,U,Schneider,LSCHNEIDE,DV-DIR,,AMC,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,
SHARVEY,,,,,Sharon,E,Harvey,SHARVEY,MPAUCEK,,BDCOUNSEL,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,386,,,1144,A,,BVASHARVEY
AKUNDE,,,,,Arvid,G,Kunde,AKUNDE,SBODE,,BDCOUNSEL,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,511,,,1145,,,BVAAKUNDE
LNADER,,,,,Lenna,P,Nader,LNADER,VFW,,VFW,,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,,,,,,,
PHYATT,,,,,Paris,E,Hyatt,PHYATT,VFW,,VFW,,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,,,,,,,
CJACOBS,,,,,Caitlyn,H,Jacobs,CJACOBS,DV-DIR,,AMC,,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,,,,,,,
RHUELS,,,,,Rita,N,Huels,RHUELS,DV-DIR,,AMC,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,BVARHUELS
SLUETTGEN,,,,,Shanel,H,Luettgen,SLUETTGEN,DV-DIR,,AMC,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,
SHUDSON1,,,,,Savanna,A,Hudson,SHUDSON1,SBODE,,BDCOUNSEL,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,616,,,1107,A,,BVASHUDSON1
KDACH1,,,,,Karlee,Z,Dach,KDACH1,SBODE,,BDCOUNSEL,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,448,,,1109,A,,BVAKDACH1
LCARTER,,,,,Lloyd,E,Carter,LCARTER,SBODE,,BDCOUNSEL,,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,,,,1108,,,
DONDRICKA,,,,,Donnell,B,Ondricka,DONDRICKA,CHR,,CHR,,,,,,,,,,(520) 379-4676,,,,,,,,,,,,,,,A,,,,,,,,,,,BVADONDRICKA
DBREITENB,,,,,Delia,E,Breitenberg,DBREITENB,SUP,,CMB,,,,,,,,,,750-205-4774 x722,,,,,,,,,,,,,,,A,,,,,,,,,,,BVADBREITENB
CKOELPIN1,,,,,Clovis,P,Koelpin,CKOELPIN1,SBODE,,BDCOUNSEL,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,386,,,1591,J,,BVACKOELPIN1
RCHRISTIA1,,,,,Rocky,F,Christiansen,RCHRISTIA1,SBODE,,BDCOUNSEL,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,679,,,1590,J,,BVARCHRISTIA1
RO70,,,,870,,,Louisville CLCW,RO70,,RO-70,,,,,,,,,,,,,SBARTELL,2016-05-24 00:00:00 UTC,,,,5,11,11,,,,,,A,,,,,,,,,,,
BKUHLMAN,,,,,Bert,M,Kuhlman,BKUHLMAN,VBA,,VBA,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,
SMETZ,,,,,Shemar,G,Metz,SMETZ,MPAUCEK,,BDCOUNSEL,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,BVASMETZ
FPREDOVIC,,,,,Freddie,S,Predovic,FPREDOVIC,SBODE,,BDCOUNSEL,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,511,,,1628,,,BVAFPREDOVIC
NBERNHARD,,,,,Nya,N,Bernhard,NBERNHARD,SBODE,,BDCOUNSEL,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,805,,,1644,,,BVANBERNHARD
OO'KEEFE,,,,,Otha,Z,O'Keefe,OO'KEEFE,01C2,,COR,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,616,,,1627,,,BVAOO'KEEFE
AZIEME,,,,,Amelia,E,Zieme,AZIEME,SBODE,,BDCOUNSEL,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,448,,,1640,,,BVAAZIEME
HKIEHN,,,,,Hardy,O,Kiehn,HKIEHN,SBODE,,BDCOUNSEL,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,365,,,1667,,,BVAHKIEHN
WSPENCER,,,,,Wellington,P,Spencer,WSPENCER,SBODE,,BDCOUNSEL,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,556,,,1625,,,BVAWSPENCER
MERNSER1,,,,,Mckenna,A,Ernser,MERNSER1,SBODE,,BDCOUNSEL,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,374,,,1634,,,BVAMERNSER1
JBAUCH1,,,,,Josianne,O,Bauch,JBAUCH1,SBODE,,BDCOUNSEL,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,370,,,1639,,,BVAJBAUCH1
GHOMENICK,,,,,Gianni,I,Homenick,GHOMENICK,SBODE,,BDCOUNSEL,,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,386,,,1654,,,BVAGHOMENICK
JFISHER,,,,,Josie,Y,Fisher,JFISHER,SBODE,,BDCOUNSEL,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,386,,,1668,,,BVAJFISHER
ND'AMORE,,,,,Liam,X,Jones,ND'AMORE,SBODE,,BDCOUNSEL,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,511,,,1653,,,BVALJONES
EWATERS,,,,,Effie,L,Waters,EWATERS,SBODE,,BDCOUNSEL,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,556,,,1712,,,BVAEWATERS
RRYAN,,,,,Rylee,X,Ryan,RRYAN,SBODE,,BDCOUNSEL,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,374,,,1709,,,BVARRYAN
CBALISTRE,,,,,Cedrick,J,Balistreri,CBALISTRE,SBODE,,BDCOUNSEL,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,616,,,1629,,,BVACBALISTRE
NHAAG,,,,,Nikki,J,Haag,NHAAG,SBODE,,BDCOUNSEL,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,374,,,1623,,,BVANHAAG
SPACOCHA,,,,,Raven,D,White,SPACOCHA,SBODE,,COUNSEL,,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,,,,1693,,,
CFRANECKI,,,,,Clare,Q,Franecki,CFRANECKI,SUP,,HRG,,,,,,,,,,113-587-4709,,,,,,,,,,,,,,,A,,,,,,,,,A,,BVACFRANECKI
AROBERTS1,,,ROADMIN,,Art,H,Roberts,AROBERTS1,MIS,,MIS,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,A,,BVAAROBERTS1
JCONNELLY,,,,,Jamie,N,Connelly,JCONNELLY,SBODE,,BDCOUNSEL,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,386,,,1715,,,BVAJCONNELLY
KSTAMM,,,,,Kody,O,Stamm,KSTAMM,SBODE,,BDCOUNSEL,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,679,,,1751,,,BVAKSTAMM
ALABADIE,,,,,Adella,H,Labadie,ALABADIE,SBODE,,BDCOUNSEL,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,374,,,1690,,,BVAALABADIE
HSCHMIDT,,,,,Holden,F,Schmidt,HSCHMIDT,DV-DIR,,AMC,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,BVAHSCHMIDT
AMARVIN1,,,,,Amya,R,Marvin,AMARVIN1,SBODE,,BDCOUNSEL,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,386,,,1747,,,BVAAMARVIN1
ETILLMAN1,,,,,Elisabeth,R,Tillman,ETILLMAN1,SBODE,,BDCOUNSEL,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,365,,,1729,,,BVAETILLMAN1
JROOB,,,,,Juston,J,Roob,JROOB,SUP,,DSP,,,,,,,,,,610.804.6320 x9747,,,,,,,,,,,,,,,A,,,,,,,,,,,BVAJROOB
MGERHOLD,,,,,Mackenzie,M,Gerhold,MGERHOLD,01-CHR,,STATSPT,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,A,,BVAMGERHOLD
ETREUTEL,,,,,Estevan,N,Treutel,ETREUTEL,DAS,,DASUSER,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,BVAETREUTEL
NOSINSKI,,,,,Nadia,L,Osinski,NOSINSKI,SBODE,,BDCOUNSEL,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,386,,,1739,,,BVANOSINSKI
EHOEGER,,,,,Effie,D,Hoeger,EHOEGER,SBODE,,BDCOUNSEL,,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,679,,,1603,,,
MCARROLL,,,,,Marie,J,Carroll,MCARROLL,SBODE,,BDCOUNSEL,,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,,,,1703,,,
DSCHMITT,,,,,Delia,E,Schmitt,DSCHMITT,SBODE,,BDCOUNSEL,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,386,,,1682,,,BVADSCHMITT
RKOELPIN,,,,,Rubye,S,Koelpin,RKOELPIN,SBODE,,BDCOUNSEL,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,448,,,1737,,,BVARKOELPIN
BCHAMPLIN,,,,,Bartholome,I,Champlin,BCHAMPLIN,SBODE,,BDCOUNSEL,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,616,,,1732,,,BVABCHAMPLIN
JKUHIC,,,,,Jaunita,G,Kuhic,JKUHIC,SBODE,,BDCOUNSEL,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,805,,,1670,,,BVAJKUHIC
EMCDERMOT,,,,,Erica,W,McDermott,EMCDERMOT,SBODE,,BDCOUNSEL,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,679,,,1673,,,BVAEMCDERMOT
FKILBACK,,,,,Fernando,C,Kilback,FKILBACK,SBODE,,BDCOUNSEL,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,448,,,1686,,,BVAFKILBACK
NSTROSIN,,,,,Neal,F,Strosin,NSTROSIN,SBODE,,BDCOUNSEL,,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,,,,1696,,,
CABERNATH,,,,,Crystel,H,Abernathy,CABERNATH,SBODE,,BDCOUNSEL,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,556,,,1754,,,BVACABERNATH
AHARBER,,,,,Adolphus,X,Harber,AHARBER,SUP,,CMB,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,BVAAHARBER
SREILLY,,,,,Savannah,R,Reilly,SREILLY,011W,,CHAIR,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,BVASREILLY
KMCCLURE,,,,,Karli,K,McClure,KMCCLURE,SBODE,,BDCOUNSEL,,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,,,,,,,
HJOHNSON,,,,,Helmer,F,Johnson,HJOHNSON,OMO,,CHAIR,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,BVAHJOHNSON
DWATERS,,,,,Dee,Z,Waters,DWATERS,SBODE,,BDCOUNSEL,,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,,,,1631,,,
KFEEST,,,,,Keyshawn,D,Feest,KFEEST,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,,,,,,,
HROBERTS,,,,,Antwan,F,Larson,HROBERTS,SBODE,,BDCOUNSEL,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,616,,,1772,,,BVAALARSON
MVANDERVO,,,,,Mauricio,Q,Vandervort,MVANDERVO,SBODE,,BDCOUNSEL,,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,,,,1800,,,
EHAMILL1,,,,,Edmund,T,Hamill,EHAMILL1,SBODE,,BDCOUNSEL,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,679,,,1811,,,BVAEHAMILL1
LEICHMANN,,,,,Julia,R,Douglas,LEICHMANN,SBODE,,BDCOUNSEL,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,374,,,1808,,,BVAJDOUGLAS
OTRANTOW,,,,,Oma,H,Trantow,OTRANTOW,SBODE,,BDCOUNSEL,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,370,,,1763,,,BVAOTRANTOW
CKEELING1,,,,,Cheyanne,Y,Keeling,CKEELING1,SBODE,,BDCOUNSEL,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,365,,,1817,,,BVACKEELING1
