tbyear,tbtrip,tbleg,tbro,tbstdate,tbenddate,tbmem1,tbmem2,tbmem3,tbmem4,tbaty1,tbaty2,tbaty3,tbaty4,tbadduser,tbaddtime,tbmoduser,tbmodtime,tbcancel,tbbvapoc,tbropoc
2017,13,true,RO01,2016-11-14 00:00:00 UTC,2016-11-18 00:00:00 UTC,370,418,,,,,,,VHERMISTO,2016-08-16 13:57:16 UTC,VHERMISTO,2016-09-13 11:14:28 UTC,,Benjamin Ryan 474.321.9348,Jevon Windler (244) 444-1107 x81544
2017,14,true,RO19,2016-11-14 00:00:00 UTC,2016-11-18 00:00:00 UTC,918,790,,,,,,,VHERMISTO,2016-08-16 13:58:10 UTC,,,,Luella Bernhard 598-240-6144,Franz Murazik (669) 880-6522 x5097
2017,16,true,RO20,2016-11-14 00:00:00 UTC,2016-11-18 00:00:00 UTC,460,847,,,,,,,VHERMISTO,2016-08-16 14:02:42 UTC,,,,Nolan Kessler (103) 856-6801,Justen Hoeger 722.564.0946 x2225
2017,17,true,BERDMAN1,2016-11-14 00:00:00 UTC,2016-11-18 00:00:00 UTC,627,467,,,,,,,VHERMISTO,2016-08-16 14:03:49 UTC,,,,Anastacio Von (172) 582-7565 x8082,Violet Cassin (841) 082-4519 x430
2017,18,true,RO17,2016-11-14 00:00:00 UTC,2016-11-18 00:00:00 UTC,797,398,748,,,,,,VHERMISTO,2016-08-16 14:04:37 UTC,VHERMISTO,2016-09-21 11:32:48 UTC,,Hilda Lynch 895-166-1148 x047,Elva Wolf (573) 561-0290 x80815
2017,20,true,RO17,2016-12-05 00:00:00 UTC,2016-12-09 00:00:00 UTC,458,365,611,,,,,,VHERMISTO,2016-08-16 14:07:34 UTC,VHERMISTO,2016-09-22 07:14:35 UTC,,Moises Kshlerin III 702-693-3361 x258,Rosina Beer 1-926-724-0352
2017,21,true,RO49,2016-12-05 00:00:00 UTC,2016-12-09 00:00:00 UTC,909,090,,,,,,,VHERMISTO,2016-08-16 14:30:04 UTC,,,,Brain Huel 1-728-115-2928,Makenna Howe 669.263.9170 x01910
2017,22,true,RO16,2017-01-23 00:00:00 UTC,2017-01-27 00:00:00 UTC,595,008,,,,,,,VHERMISTO,2016-08-16 14:31:05 UTC,,,,Felton Kris (897) 143-6778 x0802,Reagan Roberts III (191) 409-8422
2017,24,true,BERDMAN1,2017-01-23 00:00:00 UTC,2017-01-27 00:00:00 UTC,438,571,,,,,,,VHERMISTO,2016-08-16 14:36:50 UTC,SRENNER,2017-01-17 12:19:07 UTC,,Christian Barrows (517) 064-3816 x157,Ms. Anderson Doyle (732) 339-6816
2017,25,true,RO46,2017-01-23 00:00:00 UTC,2017-01-27 00:00:00 UTC,809,840,,,,,,,VHERMISTO,2016-08-16 14:38:03 UTC,,,,Olaf Cummerata IV 906.632.7799 x3062,Lila Beatty Sr. 112-212-6298 x9716
2017,26,true,RO17,2017-01-23 00:00:00 UTC,2017-01-27 00:00:00 UTC,374,750,657,,,,,,VHERMISTO,2016-08-16 14:38:57 UTC,VHERMISTO,2016-09-22 07:15:46 UTC,,Margarita King 632-810-5666 x8377,Bonita Blick (654) 979-6324
2017,28,true,RO15,2017-02-06 00:00:00 UTC,2017-02-10 00:00:00 UTC,332,611,,,,,,,VHERMISTO,2016-08-16 14:40:50 UTC,,,,Emma Gislason 1-344-564-1224 x1001,Everette Daniel 174-584-7440 x5101
2017,29,true,RO22,2017-02-06 00:00:00 UTC,2017-02-10 00:00:00 UTC,918,790,,,,,,,VHERMISTO,2016-08-16 14:41:50 UTC,,,,Ms. Herman Hettinger 1-912-735-3699 x947,Erika Lehner (641) 405-0378
2017,30,true,RO48,2017-02-06 00:00:00 UTC,2017-02-10 00:00:00 UTC,616,945,,,,,,,VHERMISTO,2016-08-16 14:42:49 UTC,VHERMISTO,2016-08-16 14:50:27 UTC,,Hiram Barton (831) 889-2224,Aurelio Altenwerth II 431.704.1963 x69019
2017,32,true,RO45,2017-02-13 00:00:00 UTC,2017-02-17 00:00:00 UTC,418,256,,,,,,,VHERMISTO,2016-08-16 14:58:47 UTC,,,,Cecile Aufderhar III (333) 635-0940,Milford Robel 489.271.4993 x01803
2017,33,true,RO23,2017-02-27 00:00:00 UTC,2017-03-03 00:00:00 UTC,1591,778,,,,,,,VHERMISTO,2016-08-17 08:42:00 UTC,VHERMISTO,2016-08-17 08:42:20 UTC,,Hal Donnelly 675.706.9977,Miss Katarina Cremin 1-180-805-1725 x860
2017,34,true,RO44,2017-03-06 00:00:00 UTC,2017-03-10 00:00:00 UTC,115,008,,,,,,,VHERMISTO,2016-08-17 08:46:47 UTC,,,,Burley Ullrich 252-818-2596 x34955,Anita Kirlin 1-685-810-1733 x92892
2017,35,true,RO16,2017-03-13 00:00:00 UTC,2017-03-17 00:00:00 UTC,654,048,,,,,,,VHERMISTO,2016-08-17 08:47:41 UTC,,,,Vernon Jast DDS 690.370.3504,Mr. Sydni Kihn 598-049-8785 x989
2017,37,true,RO18,2017-03-13 00:00:00 UTC,2017-03-17 00:00:00 UTC,036,559,,,,,,,VHERMISTO,2016-08-17 08:52:48 UTC,,,,Enoch Shields II (920) 027-8175 x267,Elbert Bailey (941) 574-2735 x1367
2017,38,true,RO28,2017-03-20 00:00:00 UTC,2017-03-24 00:00:00 UTC,842,,,,,,,,VHERMISTO,2016-08-17 08:54:03 UTC,SBARTELL,2017-03-08 13:54:14 UTC,,Anderson Kohler 1-273-323-1146 x683,Arianna Labadie 366.196.8526 x32271
2017,39,true,RO17,2017-03-20 00:00:00 UTC,2017-03-24 00:00:00 UTC,438,256,728,,,,,,VHERMISTO,2016-08-17 08:56:30 UTC,VHERMISTO,2016-09-22 07:17:42 UTC,,Paxton Mayert (720) 025-6446 x14412,Laney Spinka (279) 452-8225
2017,40,true,RO49,2017-03-27 00:00:00 UTC,2017-03-31 00:00:00 UTC,1028,1590,,,,,,,VHERMISTO,2016-08-17 08:58:36 UTC,,,,Mr. Darrell Schiller 281-366-3894 x895,Merle O'Connell 1-827-182-0578
2017,42,true,RO26,2017-04-03 00:00:00 UTC,2017-04-07 00:00:00 UTC,460,,,,,,,,VHERMISTO,2016-08-17 09:00:48 UTC,,,,Mauricio Fisher PhD 448-814-6199 x043,Ms. Libby Quitzon 1-739-046-8983
2017,43,true,RO31,2017-04-03 00:00:00 UTC,2017-04-07 00:00:00 UTC,450,,,,,,,,VHERMISTO,2016-08-17 09:01:28 UTC,RCREMIN2,2017-08-25 09:44:00 UTC,,Mr. Larry Littel (489) 219-0501 x55446,Claud Jacobi 383.345.3547
2017,44,true,RO23,2017-04-10 00:00:00 UTC,2017-04-14 00:00:00 UTC,559,,,,,,,,VHERMISTO,2016-08-17 09:02:10 UTC,,,,Dr. Austin Champlin 359.148.4948,Lurline Gutmann 874.418.1455 x4251
2017,45,true,RO17,2017-04-10 00:00:00 UTC,2017-04-14 00:00:00 UTC,556,533,346,,,,,,VHERMISTO,2016-08-17 09:03:10 UTC,VHERMISTO,2016-09-22 07:21:34 UTC,,Malvina Ledner 845.219.7283,Rebekah Beatty (606) 143-5510 x802
2017,47,true,RO06,2017-04-17 00:00:00 UTC,2017-04-19 00:00:00 UTC,536,,,,,,,,VHERMISTO,2016-08-17 09:05:07 UTC,,,,Easton Trantow 208.598.2545,Mrs. Winona Cassin 372-982-5284
2017,48,true,RO48,2017-04-17 00:00:00 UTC,2017-04-21 00:00:00 UTC,776,784,,,,,,,VHERMISTO,2016-08-17 09:05:58 UTC,,,,Myron Kub 921.892.4517,Ivory Jast 480.497.3380
2017,49,true,RO40,2017-04-24 00:00:00 UTC,2017-04-28 00:00:00 UTC,511,,,,,,,,VHERMISTO,2016-08-17 09:07:49 UTC,SRENNER,2017-04-25 08:05:57 UTC,,Pearl Grady 368.396.1522,Mallie Hilpert IV 830.637.6181 x67983
2017,50,true,RO39,2017-04-24 00:00:00 UTC,2017-04-28 00:00:00 UTC,464,533,,,,,,,VHERMISTO,2016-08-17 09:09:21 UTC,,,,Julio Klein (657) 304-3135 x85834,Yesenia McClure DVM 518.706.4091 x227
2017,52,true,RO43,2017-04-24 00:00:00 UTC,2017-04-28 00:00:00 UTC,571,872,,,,,,,VHERMISTO,2016-08-17 09:11:24 UTC,,,,Ernesto Reichel V (943) 048-9118,Maxime Zulauf 1-568-026-1717
2017,53,true,RO25,2017-05-01 00:00:00 UTC,2017-05-05 00:00:00 UTC,308,981,,,,,,,VHERMISTO,2016-08-17 09:13:41 UTC,SRENNER,2017-05-01 08:51:10 UTC,,Tanya Rutherford 1-374-373-9551 x061,Stephen Abernathy 500.478.3851 x36512
2017,54,true,RO29,2017-05-01 00:00:00 UTC,2017-05-05 00:00:00 UTC,627,153,,,,,,,VHERMISTO,2016-08-17 09:14:32 UTC,SRENNER,2017-04-25 08:40:31 UTC,,Arch Rath (223) 385-0570 x1470,Makayla Heathcote 507.495.7758 x7909
2017,55,true,RO07,2017-05-08 00:00:00 UTC,2017-05-12 00:00:00 UTC,323,,,,,,,,VHERMISTO,2016-08-17 09:15:15 UTC,SRENNER,2017-03-10 08:30:18 UTC,,Francisco Boehm (943) 686-1646 x30640,Miss Regan Feeney (529) 737-7233 x520
2017,56,true,RO30,2017-05-08 00:00:00 UTC,2017-05-12 00:00:00 UTC,955,,,,,,,,VHERMISTO,2016-08-17 09:15:58 UTC,,,,Rudy Hahn DVM 1-978-579-3358 x93765,Llewellyn Borer I (469) 050-5234
2017,57,true,RO17,2017-05-08 00:00:00 UTC,2017-05-12 00:00:00 UTC,797,894,332,,,,,,VHERMISTO,2016-08-17 09:16:52 UTC,VHERMISTO,2016-09-22 07:23:38 UTC,,Theo Maggio 885-565-0215,Hosea Jones (259) 599-7683 x2642
2017,59,true,RO22,2017-05-15 00:00:00 UTC,2017-05-19 00:00:00 UTC,471,738,,,,,,,VHERMISTO,2016-08-17 09:19:05 UTC,,,,Lue Lindgren I 224.313.3590 x7663,Jayson Pagac 675-786-2155 x88496
2017,60,true,RO49,2017-05-15 00:00:00 UTC,2017-05-19 00:00:00 UTC,904,1591,,,,,,,VHERMISTO,2016-08-17 09:19:59 UTC,,,,Julianne Blick Jr. 1-956-377-0392,Robert Nader 230-669-1680
2017,61,true,RO46,2017-05-22 00:00:00 UTC,2017-05-26 00:00:00 UTC,448,679,,,,,,,VHERMISTO,2016-08-17 09:24:58 UTC,,,,Obie Cartwright 1-601-629-2462,Dr. Sabina Glover 638.829.0088 x559
2017,63,true,RO17,2017-06-05 00:00:00 UTC,2017-06-09 00:00:00 UTC,319,536,627,,,,,,VHERMISTO,2016-08-17 09:26:53 UTC,SRENNER,2017-04-25 08:50:41 UTC,,Magnolia Gutmann (236) 319-3204 x282,Marshall Barton Sr. 167.559.2209 x00948
2017,64,true,RO25,2017-06-19 00:00:00 UTC,2017-06-23 00:00:00 UTC,784,1028,,,,,,,VHERMISTO,2016-08-17 09:27:47 UTC,,,,Cameron Stoltenberg DVM 373-007-9323,Katelynn Williamson 187-638-5045 x411
2017,66,true,RO44,2017-07-17 00:00:00 UTC,2017-07-21 00:00:00 UTC,598,,,,,,,,VHERMISTO,2016-08-17 09:29:26 UTC,SRENNER,2017-07-14 10:56:26 UTC,,Ms. Tremaine Monahan (220) 485-6153 x658,Camryn Nolan 691-682-4778 x36375
2017,68,true,RO17,2017-08-07 00:00:00 UTC,2017-08-11 00:00:00 UTC,738,904,981,,,,,,VHERMISTO,2016-08-17 09:31:38 UTC,SRENNER,2017-08-08 12:21:43 UTC,,Rafael Mills I 355.820.8952,Miss Makayla Langosh 802-630-6467
2017,69,true,RO28,2017-08-14 00:00:00 UTC,2017-08-18 00:00:00 UTC,805,,,,,,,,VHERMISTO,2016-08-17 09:32:25 UTC,SRENNER,2017-01-23 08:36:29 UTC,,Lurline Harvey IV 690.263.7855 x5155,Marcelle Grant (306) 979-1150 x092
2017,70,true,RO21,2017-08-14 00:00:00 UTC,2017-08-18 00:00:00 UTC,346,,,,,,,,VHERMISTO,2016-08-17 09:33:06 UTC,,,,Mattie Gulgowski 1-962-642-8037 x817,Mrs. Fatima Klein 879-954-6205
2017,72,true,RO39,2017-08-21 00:00:00 UTC,2017-08-25 00:00:00 UTC,731,1070,,,,,,,VHERMISTO,2016-08-17 09:34:38 UTC,SRENNER,2017-03-31 14:41:43 UTC,,Joshuah Kerluke PhD 1-313-876-6120,Leopold Adams 713-331-8768 x285
2017,73,true,RO21,2017-08-21 00:00:00 UTC,2017-08-25 00:00:00 UTC,332,,,,,,,,VHERMISTO,2016-08-17 09:35:10 UTC,,,,Kailee Davis 431.597.7575,Misael Dare DVM 779.524.0688 x526
2017,75,true,RO17,2017-09-18 00:00:00 UTC,2017-09-22 00:00:00 UTC,657,1024,981,,,,,,VHERMISTO,2016-08-17 09:36:26 UTC,LKUHLMAN,2017-09-13 15:31:50 UTC,,Garland Johnson 1-553-897-2570,Mr. Lionel Heller (486) 552-0264
2017,65,true,RO17,2017-07-10 00:00:00 UTC,2017-07-14 00:00:00 UTC,346,595,256,,,,,,VHERMISTO,2016-08-17 09:28:39 UTC,VHERMISTO,2016-09-22 07:25:35 UTC,,Ashlynn Mueller 482-015-3339 x07891,Jules Fritsch PhD 1-282-191-2803
2018,83,true,RO17,2018-07-09 00:00:00 UTC,2018-07-13 00:00:00 UTC,374,776,536,,,,,,SRENNER,2017-08-16 14:21:32 UTC,SRENNER,2017-08-18 08:31:19 UTC,,Troy Turcotte 291-518-1495 x8380,Alisa Labadie 525.296.1065
2018,84,true,RO54,2018-07-09 00:00:00 UTC,2018-07-13 00:00:00 UTC,458,,,,,,,,SRENNER,2017-08-16 14:22:17 UTC,,,,Rebekah Hessel 826.583.6479 x1250,Shyann Barrows 553.824.6906 x99066
2018,82,true,RO31,2018-06-18 00:00:00 UTC,2018-06-22 00:00:00 UTC,541,,,,,,,,SRENNER,2017-08-16 14:20:33 UTC,SRENNER,2017-08-22 13:54:10 UTC,,Barbara Ziemann 1-301-962-3061,Reymundo Kulas 1-355-404-0913
2018,85,true,RO44,2018-07-16 00:00:00 UTC,2018-07-20 00:00:00 UTC,365,,,,,,,,SRENNER,2017-08-16 14:23:00 UTC,,,,Miss Ashtyn Towne 1-106-660-9196 x695,Lincoln Smith 732-755-9055
2018,86,true,RO18,2018-07-16 00:00:00 UTC,2018-07-20 00:00:00 UTC,1010,947,,,,,,,SRENNER,2017-08-16 14:23:40 UTC,SRENNER,2017-08-21 09:56:00 UTC,,Ms. Kaley Kihn 238.042.1948 x5293,Luigi Abshire 635-072-0950 x32468
2018,87,true,RO06,2018-07-16 00:00:00 UTC,2018-07-20 00:00:00 UTC,556,,,,,,,,SRENNER,2017-08-16 14:24:40 UTC,,,,Walker Waters (767) 796-5649 x36127,Tomasa Hodkiewicz 1-549-656-3344 x0480
2018,88,true,RO17,2018-08-06 00:00:00 UTC,2018-08-10 00:00:00 UTC,679,904,875,,,,,,SRENNER,2017-08-16 14:25:40 UTC,,,,Taurean Hayes (381) 215-2279 x269,Ms. Earlene Veum 310.230.6897 x0699
2018,89,true,RO51,2018-08-06 00:00:00 UTC,2018-08-10 00:00:00 UTC,1062,,,,,,,,SRENNER,2017-08-16 14:26:22 UTC,SRENNER,2017-08-21 07:57:40 UTC,,Lauryn Kozey V 453-832-3358 x6073,Coleman Stracke (625) 923-2562 x93379
2018,90,true,RO49,2018-08-06 00:00:00 UTC,2018-08-10 00:00:00 UTC,653,,,,,,,,SRENNER,2017-08-16 14:26:59 UTC,SRENNER,2017-08-18 09:06:09 UTC,,Sylvia Miller IV (664) 648-0855 x1385,Hannah Heller 971-867-1861
2018,91,true,RO21,2018-08-06 00:00:00 UTC,2018-08-10 00:00:00 UTC,308,,,,,,,,SRENNER,2017-08-16 14:27:44 UTC,,,,Letha O'Reilly 984.942.8510,Ms. Bonnie Eichmann 1-784-439-1428
2018,92,true,RO28,2018-08-13 00:00:00 UTC,2018-08-17 00:00:00 UTC,418,,,,,,,,SRENNER,2017-08-16 14:28:27 UTC,SRENNER,2017-08-18 08:28:10 UTC,,Icie Botsford IV (501) 044-8248 x275,Kara O'Reilly 1-334-854-0364
2018,93,true,RO21,2018-08-13 00:00:00 UTC,2018-08-17 00:00:00 UTC,346,,,,,,,,SRENNER,2017-08-16 14:29:17 UTC,,,,Ludwig Buckridge 666-191-4946 x007,Turner Graham MD 1-333-946-9619 x1726
2018,94,true,RO43,2018-08-13 00:00:00 UTC,2018-08-17 00:00:00 UTC,845,,,,,,,,SRENNER,2017-08-16 14:30:01 UTC,,,,Gudrun Kreiger (571) 492-0938 x355,Ashton Wintheiser (682) 875-0434
2018,95,true,RO39,2018-08-20 00:00:00 UTC,2018-08-24 00:00:00 UTC,1118,,,,,,,,SRENNER,2017-08-16 14:30:43 UTC,,,,Mireya Mitchell DVM 552.865.8844 x86121,Jayce Jaskolski (361) 939-9651 x841
2018,96,true,RO21,2018-08-20 00:00:00 UTC,2018-08-24 00:00:00 UTC,738,,,,,,,,SRENNER,2017-08-16 14:31:26 UTC,,,,Destini Baumbach MD 837.269.9231 x73341,Bobbie Stark 728.983.3177
2018,97,true,RO18,2018-08-27 00:00:00 UTC,2018-08-31 00:00:00 UTC,550,,,,,,,,SRENNER,2017-08-16 14:32:05 UTC,SRENNER,2017-08-18 12:14:08 UTC,,Alana Luettgen 496-869-4410,Ned Fadel (767) 836-7247
2018,98,true,RO07,2018-09-10 00:00:00 UTC,2018-09-14 00:00:00 UTC,731,,,,,,,,SRENNER,2017-08-16 14:32:57 UTC,SRENNER,2017-11-28 13:59:41 UTC,,Raphael Bergstrom 780-485-6131 x4697,Ulises Ledner 1-498-540-7481
2018,99,true,RO46,2018-09-17 00:00:00 UTC,2018-09-21 00:00:00 UTC,511,,,,,,,,SRENNER,2017-08-16 14:33:49 UTC,,,,Kirsten Smitham (647) 063-6730,Mr. Sherman Eichmann 1-728-990-4951 x624
2017,76,true,RO17,2017-08-28 00:00:00 UTC,2017-09-01 00:00:00 UTC,323,550,561,,,,,,VHERMISTO,2016-09-01 14:42:48 UTC,SRENNER,2017-07-24 08:22:35 UTC,,Orlando Tremblay MD 1-509-939-3744,Annamae Witting II 1-507-889-2778 x4389
2017,77,true,RO19,2017-05-15 00:00:00 UTC,2017-05-19 00:00:00 UTC,748,,,,,,,,VHERMISTO,2016-09-01 15:15:16 UTC,VHERMISTO,2016-09-21 11:33:41 UTC,,Kyleigh Barton (980) 425-5140 x78074,Juana Stoltenberg 1-896-053-9215
2017,78,true,RO45,2017-03-27 00:00:00 UTC,2017-03-31 00:00:00 UTC,750,,,,,,,,VHERMISTO,2016-09-01 15:16:07 UTC,VHERMISTO,2016-09-22 07:20:07 UTC,,Aliya Gorczany 409-294-0690,Herman Bogisich (943) 271-8670 x377
2017,79,true,RO46,2017-09-18 00:00:00 UTC,2017-09-22 00:00:00 UTC,536,,,,,,,,VHERMISTO,2016-09-01 15:17:05 UTC,SRENNER,2017-04-25 08:06:21 UTC,,Catalina Carter (701) 762-8235 x085,Annabelle Jakubowski DDS 1-259-613-4795
2017,80,true,RO44,2017-07-17 00:00:00 UTC,2017-07-21 00:00:00 UTC,731,,,,,,,,VHERMISTO,2016-09-01 15:17:38 UTC,VHERMISTO,2016-09-22 07:26:17 UTC,,Mr. Harmony Stiedemann 1-945-144-9312 x66373,Kobe Gutkowski 709.727.0751 x511
2017,81,true,RO10,2017-09-11 00:00:00 UTC,2017-09-15 00:00:00 UTC,225,,,,,,,,VHERMISTO,2016-09-01 15:18:19 UTC,SRENNER,2017-04-25 08:38:43 UTC,,Margarette Gislason II (777) 574-6198,Emie Purdy IV (583) 568-1760 x62618
2017,82,true,RO15,2017-04-24 00:00:00 UTC,2017-04-28 00:00:00 UTC,561,,,,,,,,VHERMISTO,2016-09-01 15:20:06 UTC,SRENNER,2017-03-31 14:38:31 UTC,,Dr. Shanon Kreiger 436-554-5490,Jerrell Fahey 276-490-3376 x858
2017,83,true,RO21,2017-08-07 00:00:00 UTC,2017-08-11 00:00:00 UTC,872,,,,,,,,VHERMISTO,2016-09-01 15:20:43 UTC,VHERMISTO,2016-09-22 07:27:17 UTC,,Yvette Leffler (794) 638-2518 x6385,Jayme Oberbrunner 591-424-4363 x821
2017,84,true,RO30,2017-04-03 00:00:00 UTC,2017-04-07 00:00:00 UTC,918,,,,,,,,VHERMISTO,2016-09-01 15:21:18 UTC,VHERMISTO,2016-09-22 07:20:46 UTC,,Emilio Will 1-883-874-8033 x8101,Jessica Frami (205) 621-6326
2017,85,true,RO01,2017-04-24 00:00:00 UTC,2017-04-28 00:00:00 UTC,438,,,,,,,,VHERMISTO,2016-09-01 15:21:53 UTC,VHERMISTO,2016-09-22 07:22:11 UTC,,Anita Corwin DDS 1-446-512-8643,Euna Wiegand 1-341-006-9034 x5944
2017,86,true,RO31,2017-06-19 00:00:00 UTC,2017-06-23 00:00:00 UTC,536,,,,,,,,VHERMISTO,2016-09-01 15:22:43 UTC,VHERMISTO,2016-09-26 14:03:23 UTC,,Natalia Orn (819) 492-4975 x90560,Santa Kohler (580) 659-3683 x809
2017,87,true,RO62,2017-06-12 00:00:00 UTC,2017-06-16 00:00:00 UTC,1070,611,,,,,,,SRENNER,2017-04-25 08:05:02 UTC,GKLING,2017-06-12 14:22:14 UTC,,Julianne Ferry 1-670-428-1972,Mrs. Elliott Swift 452-711-5966
2017,88,true,RO62,2017-07-24 00:00:00 UTC,2017-07-28 00:00:00 UTC,842,981,,,,,,,SRENNER,2017-04-25 08:29:34 UTC,SRENNER,2017-05-05 08:18:17 UTC,,Thomas Gottlieb (267) 086-4053,Abdullah Pfannerstill Sr. 441.868.0400
2017,89,true,RO10,2017-07-24 00:00:00 UTC,2017-07-28 00:00:00 UTC,178,,,,,,,,SRENNER,2017-04-25 08:32:15 UTC,SRENNER,2017-05-05 08:33:23 UTC,,Freda Howe 1-417-384-6508,Ms. Ronaldo O'Reilly 1-776-743-9381
2017,90,true,RO45,2017-08-07 00:00:00 UTC,2017-08-11 00:00:00 UTC,947,,,,,,,,SRENNER,2017-04-25 08:34:15 UTC,SBARTELL,2017-08-11 15:02:35 UTC,,Madonna Hilpert 526-728-9083,Mrs. Elouise Rohan (453) 599-7512
2017,91,true,RO49,2017-08-21 00:00:00 UTC,2017-08-25 00:00:00 UTC,1118,,,,,,,,SRENNER,2017-04-25 08:34:57 UTC,SRENNER,2017-05-05 08:19:39 UTC,,Antonetta Considine 1-152-805-6574,Rosalinda Cummings 935.717.6307 x3027
2017,92,true,RO19,2017-09-18 00:00:00 UTC,2017-09-22 00:00:00 UTC,845,,,,,,,,SRENNER,2017-04-25 08:37:00 UTC,SRENNER,2017-05-05 08:28:50 UTC,,Sincere Howe (979) 087-9300,Maritza Dickens (698) 883-7797 x924
2018,100,true,RO55,2018-08-13 00:00:00 UTC,2018-08-17 00:00:00 UTC,457,,,,,,,,SRENNER,2017-11-01 13:07:24 UTC,SRENNER,2017-11-13 08:52:40 UTC,,Norval Kohler 1-176-137-9190 x337,Richmond Schuster PhD 947.555.1121 x43660
2017,74,true,RO22,2017-09-18 00:00:00 UTC,2017-09-22 00:00:00 UTC,876,,,,,,,,VHERMISTO,2016-08-17 09:35:48 UTC,SRENNER,2017-04-25 08:32:44 UTC,,Miss Aric Windler (414) 529-9633 x261,Liam Thiel 731.840.6586
2018,101,true,RO55,2018-02-05 00:00:00 UTC,2018-02-09 00:00:00 UTC,586,,,,,,,,SRENNER,2017-11-01 13:14:57 UTC,SRENNER,2017-11-13 08:49:37 UTC,,Elijah Reichel II 1-554-305-8673 x734,Icie Spencer 1-173-704-1606 x755
2018,102,true,RO62,2018-07-09 00:00:00 UTC,2018-07-13 00:00:00 UTC,895,,,,,,,,SRENNER,2017-11-28 14:03:41 UTC,,,,Dexter Rodriguez (569) 534-9518,Nichole Gibson 1-575-308-5241
